patch_id,product,year,release_date,title,url,replaced_by,security_label,security_bugs,security_mentions_without_bug_id
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,2021-02-09,Portal for ArcGIS Security 2019 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2019/portal-for-arcgis-security-2019-update-2-patch-7749,,yes,2,0
ARCGIS-DESKTOP-ENGINE-SERVER-GENERAL-RAS,ArcGIS Server,2021,2021-03-16,"ArcGIS (Desktop, Engine, Server) General Raster Security Patch",https://support.esri.com/en-us/patches-updates/2021/arcgis-desktop-engine-server-general-raster-security-pa-7869,,yes,0,0
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2021,2021-03-31,ArcGIS Server Map and Feature Service Security Patch,https://support.esri.com/en-us/patches-updates/2021/arcgis-server-map-and-feature-service-security-patch-7873,,yes,1,1
PORTAL-FOR-ARCGIS-OPERATIONS-DASHBOARD-S,Portal for ArcGIS,2021,2021-04-26,Portal for ArcGIS Operations Dashboard Security Patch,https://support.esri.com/en-us/patches-updates/2021/portal-for-arcgis-operations-dashboard-security-patch-7865,,yes,1,0
ARCGIS-GEOEVENT-SERVER-SECURITY-UPDATE-2,ArcGIS GeoEvent Server,2021,2021-04-29,ArcGIS GeoEvent Server Security Update 2021 Patch,https://support.esri.com/en-us/patches-updates/2021/arcgis-geoevent-server-security-update-2021-patch-7895,,yes,1,1
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,2021-05-05,ArcGIS Server Security 2021 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2021/arcgis-server-security-2021-update-1-patch-7879,,yes,6,0
ARCGIS-RUNTIME-LOCAL-SERVER-SDK-GENERAL-,ArcGIS Server,2021,2021-05-07,ArcGIS Runtime Local Server SDK General Security Patch.,https://support.esri.com/en-us/patches-updates/2021/arcgis-runtime-local-server-sdk-general-security-patch-7894,,yes,0,0
PORTAL-FOR-ARCGIS-SECURITY-2021-UPDATE-1,Portal for ArcGIS,2021,2021-07-13,Portal for ArcGIS Security 2021 Update 1 Patch,https://support.esri.com/en-us/patches-updates/2021/portal-for-arcgis-security-2021-update-1-patch-7899,,yes,3,0
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,2021-09-23,ArcGIS Server Security 2021 Update 2 Patch,https://support.esri.com/en-us/patches-updates/2021/arcgis-server-security-2021-update-2-patch-7937,,yes,3,0
ARCGIS-SERVER-LOG4J-PATCH,ArcGIS Server,2022,2022-03-14,ArcGIS Server Log4j Patch,https://support.esri.com/en-us/patches-updates/2022/arcgis-server-log4j-patch-7977,,yes,1,0
