patch_id,product,year,bug_id,description,is_security
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,BUG-000125434,A geoprocessing service with the GPDataFile input type does not provide the option to upload a file in the Web AppBuilder for ArcGIS geoprocessing widget in Portal for ArcGIS 10.7.1.,False
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,BUG-000125033,Users signed in through Integrated Windows Authentication (IWA) cannot search for layers under My Organization in Map Viewer.,False
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,BUG-000124953,Portal for ArcGIS application information exposure,False
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,BUG-000123690,Reflected cross-site scripting (XSS) in the Portal for ArcGIS home application CVSS 3.0 Base Score: 5.4 - CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,True
PORTAL-FOR-ARCGIS-SECURITY-2019-UPDATE-2,Portal for ArcGIS,2021,BUG-000119891,Portal for ArcGIS profiles allow HTML injection (Only in 10.6.1and 10.5.1) CVSS 3.0 Base Score: 3.5 - CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,True
ARCGIS-DESKTOP-ENGINE-SERVER-GENERAL-RAS,ArcGIS Server,2021,BUG-000137702,Addresses a crash in ArcGIS when parsing specially crafted files.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2021,BUG-000134965,There is a SQL injection vulnerability in ArcGIS Server,True
PORTAL-FOR-ARCGIS-OPERATIONS-DASHBOARD-S,Portal for ArcGIS,2021,BUG-000123698,Stored cross-site scripting (XSS) issue in Operations Dashboard. CVSS 3.0 Base Score: 8.0 - CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,True
ARCGIS-GEOEVENT-SERVER-SECURITY-UPDATE-2,ArcGIS GeoEvent Server,2021,BUG-000139249,ArcGIS GeoEvent Server has a Directory Traversal security vulnerability.,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000137658,SSRF vulnerability in ArcGIS Server Manager,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000137662,Reflected XSS in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000137663,Stored XSS vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000137668,Stored XSS vulnerability in ArcGIS Server Services Directory,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000131992,Reflected cross-site scripting (XSS) vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-1-PAT,ArcGIS Server,2021,BUG-000137659,Cross-site scripting (XSS) in ArcGIS Server Manager (10.6.1 only),True
ARCGIS-RUNTIME-LOCAL-SERVER-SDK-GENERAL-,ArcGIS Server,2021,BUG-000137702,Addresses a crash in ArcGIS when parsing specially crafted files.,False
PORTAL-FOR-ARCGIS-SECURITY-2021-UPDATE-1,Portal for ArcGIS,2021,BUG-000140596,The full bar chart legend is not displayed in the Map Viewer for 10.8.1 map services. (10.8.1),False
PORTAL-FOR-ARCGIS-SECURITY-2021-UPDATE-1,Portal for ArcGIS,2021,BUG-000139216,Privilege escalation vulnerability in Portal for ArcGIS,True
PORTAL-FOR-ARCGIS-SECURITY-2021-UPDATE-1,Portal for ArcGIS,2021,BUG-000138525,Reflected XSS vulnerability in Portal for ArcGIS,True
PORTAL-FOR-ARCGIS-SECURITY-2021-UPDATE-1,Portal for ArcGIS,2021,BUG-000136493,"Stored Cross-Site Scripting issue in Portal for ArcGIS (10.8.1, 10.8, 10.7.1, 10.6.1, 10.6)",True
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,BUG-000113339,"The ArcGIS Server versions 10.6 or 10.7.1 export site operation returns the error message, ""Export operation failed. null"" within Amazon Web Services (AWS) on Microsoft Windows and Linux (or Azure). (10.7.1 only)",False
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,BUG-000139857,Remote file inclusion vulnerability in the ArcGIS Server help documentation,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,BUG-000142180,Stored XSS vulnerability in ArcGIS Server (10.8.1 and 10.9 only),True
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,BUG-000142120,SQL injection vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2021-UPDATE-2-PAT,ArcGIS Server,2021,BUG-000142204,Setting a field invisible in a hosted feature service view requires hiding the field references from the templates.,False
ARCGIS-SERVER-LOG4J-PATCH,ArcGIS Server,2022,BUG-000145345,Update Log4j to address security vulnerabilities. Please see ArcGIS Enterprise Log4j Security Patches Available for further details.,True
ARCGIS-DATA-STORE-LOG4J,ArcGIS Data Store,2022,BUG-000145346,Update log4j to address security vulnerabilities. Please see ArcGIS Enterprise Log4j Security Patches Available for further details.,True
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000145347,: Update log4j to address security vulnerabilities.,True
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000129110,: Enterprise server connections without credentials revert to an unusable state when GeoEvent Server is restarted.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000144488,: Following a reboot GeoEvent Gateway will periodically fail to restart in an operational state.,False
ARCGIS-GEOEVENT-SERVER-10-9-1-PATCH-1-WI,ArcGIS GeoEvent Server,2022,BUG-000145348,: Update GeoEvent Server to replace unpatched Log4j libraries.,True
